"Vx","Vy","Yaw","YawRate","latitude","longitude","el","x_gps_cg","y_gps_cg"
0,0,0,0,0,0,0,0.99,0
0.02629191000121303,-0.034618093326659084,1.5392824810202275,-0.0008200000000000001,42.29782976465202,-83.7022685640057,268.7611083984375,0.99,0
0.02629191000121303,-0.034618093326659084,1.5392824810202275,-0.0008200000000000001,42.29782975913796,-83.7022685601767,268.76104736328125,0.99,0
0.031890272708087725,-0.0330043600127755,1.5393334811503736,0.00051,42.29782975376251,-83.70226855599556,268.760986328125,0.99,0
0.031890272708087725,-0.0330043600127755,1.5393334811503736,0.00051,42.297829747864505,-83.70226854718958,268.7610168457031,0.99,0
0.038488935730202206,-0.034147562204527256,1.5393824813099655,-0.0015500000000000002,42.297829742655175,-83.70226854032512,268.7609558105469,0.99,0
0.038488935730202206,-0.034147562204527256,1.5393824813099655,-0.0015500000000000002,42.29782973736231,-83.70226853327587,268.76092529296875,0.99,0
0.05378953980862259,-0.0277808464174861,1.5393804816279113,0.0032700000000000003,42.29782973174859,-83.70226852098774,268.76092529296875,0.99,0
0.05378953980862259,-0.0277808464174861,1.5393804816279113,0.0032700000000000003,42.29782972893111,-83.7022685102498,268.7608337402344,0.99,0
0.05378953980862259,-0.0277808464174861,1.5393804816279113,0.0032700000000000003,42.29782972453283,-83.70226850028563,268.76068115234375,0.99,0
0.0653880734366116,-0.028230594257003284,1.5394314818757622,0.00252,42.297829718993974,-83.70226848385335,268.76068115234375,0.99,0
0.0653880734366116,-0.028230594257003284,1.5394314818757622,0.00252,42.297829714605356,-83.7022684693964,268.7605285644531,0.99,0
0.07778749871459646,-0.03297806527277942,1.5394514822450653,-0.00237,42.2978297105061,-83.70226845554659,268.76043701171875,0.99,0
0.07778749871459646,-0.03297806527277942,1.5394514822450653,-0.00237,42.2978297050195,-83.7022684344392,268.76043701171875,0.99,0
0.09158541400919307,-0.025386728061388295,1.539519482662,0.0053100000000000005,42.29782970091608,-83.70226841571738,268.76031494140625,0.99,0
0.09158541400919307,-0.025386728061388295,1.539519482662,0.0053100000000000005,42.29782969663543,-83.70226839669512,268.7602233886719,0.99,0
0.10668405447825167,-0.03155562810589584,1.5395654831109775,-0.00101,42.297829691181214,-83.70226836981215,268.7602233886719,0.99,0
0.10668405447825167,-0.03155562810589584,1.5395654831109775,-0.00101,42.2978296877569,-83.7022683438794,268.7601318359375,0.99,0
0.1252810857476039,-0.02617359463060992,1.5396584837375,0.0046500000000000005,42.29782968430877,-83.7022683178415,268.7600402832031,0.99,0
0.1252810857476039,-0.02617359463060992,1.5396584837375,0.0046500000000000005,42.29782967876143,-83.70226828457496,268.7600402832031,0.99,0
0.1252810857476039,-0.02617359463060992,1.5396584837375,0.0046500000000000005,42.297829675099294,-83.70226825172458,268.7599792480469,0.99,0
0.1428820748230239,-0.03289348060903829,1.5396224844404012,-0.00193,42.29782967153438,-83.70226821847425,268.7599182128906,0.99,0
0.1428820748230239,-0.03289348060903829,1.5396224844404012,-0.00193,42.29782966588071,-83.70226817809029,268.75994873046875,0.99,0
0.17277871542006856,-0.024964370919437442,1.5397154857005115,0.0068200000000000005,42.29782966354057,-83.70226813659262,268.7598876953125,0.99,0
0.17277871542006856,-0.024964370919437442,1.5397154857005115,0.0068200000000000005,42.297829661054664,-83.70226809501014,268.75982666015625,0.99,0
0.19377868301475687,-0.027918371139859142,1.5397184866804796,0.0037500000000000003,42.29782965543004,-83.70226804657939,268.7598876953125,0.99,0
0.19377868301475687,-0.027918371139859142,1.5397184866804796,0.0037500000000000003,42.29782965297264,-83.70226799654789,268.7598876953125,0.99,0
0.21817794306692243,-0.028124458235344665,1.5397574878433247,0.00286,42.297829651653934,-83.7022679463792,268.7598876953125,0.99,0
0.21817794306692243,-0.028124458235344665,1.5397574878433247,0.00286,42.297829646208555,-83.70226788906409,268.7599792480469,0.99,0
0.24537599470448107,-0.0242762274956197,1.5398354891114616,0.006180000000000001,42.29782964494508,-83.70226782935995,268.760009765625,0.99,0
0.24537599470448107,-0.0242762274956197,1.5398354891114616,0.006180000000000001,42.29782964361976,-83.7022677689104,268.76007080078125,0.99,0
0.27447662258098066,-0.029260280362137563,1.5398434905260563,6.000000000000001e-05,42.29782963834128,-83.70226770097433,268.7601623535156,0.99,0
0.27447662258098066,-0.029260280362137563,1.5398434905260563,6.000000000000001e-05,42.297829637934285,-83.70226763078064,268.76019287109375,0.99,0
0.27447662258098066,-0.029260280362137563,1.5398434905260563,6.000000000000001e-05,42.29782963722486,-83.70226756015475,268.7602233886719,0.99,0
0.3048758855237159,-0.02614321529881376,1.5398854921539364,0.0026400000000000004,42.29782963213158,-83.70226748075154,268.7603454589844,0.99,0
0.3048758855237159,-0.02614321529881376,1.5398854921539364,0.0026400000000000004,42.29782963324101,-83.70226739812976,268.76031494140625,0.99,0
0.3373764931385267,-0.03129142945903019,1.5398784939218249,-0.00304,42.297829634964074,-83.70226731495835,268.7602844238281,0.99,0
0.3373764931385267,-0.03129142945903019,1.5398784939218249,-0.00304,42.29782963011051,-83.70226722327801,268.76043701171875,0.99,0
0.38897280628591474,-0.02467723645986966,1.5400504969509687,0.00254,42.2978296318335,-83.70226712778435,268.76043701171875,0.99,0
0.38897280628591474,-0.02467723645986966,1.5400504969509687,0.00254,42.29782963330705,-83.70226703159628,268.76043701171875,0.99,0
0.4253721704698232,-0.02677037832729147,1.5401164992032184,-0.00062,42.2978296286639,-83.70226692661318,268.7606506347656,0.99,0
